"train/epoch","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm__MAX","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MAX"
"24","0.23010272532701492","0.2099687159061432","0.24100710451602936","1425","1425","1425","0.04401775822043419","0.0425257608294487","0.04581795260310173","1425","1425","1425"
"25","0.23322198539972305","0.2133006751537323","0.24398773908615112","1482","1482","1482","0.04434934910386801","0.04293016344308853","0.045947812497615814","1482","1482","1482"
"26","0.2362084537744522","0.215528666973114","0.24773898720741272","1539","1539","1539","0.04464553017169237","0.043249037116765976","0.04600338637828827","1539","1539","1539"
"27","0.2375335581600666","0.2170996516942978","0.2490488886833191","1596","1596","1596","0.04494436178356409","0.043601036071777344","0.04625645652413368","1596","1596","1596"
"28","0.2393411472439766","0.22056476771831512","0.24977955222129822","1653","1653","1653","0.045484927482903004","0.0439809188246727","0.046834900975227356","1653","1653","1653"
"29","0.24123439565300941","0.22091494500637054","0.25146982073783875","1710","1710","1710","0.04583609104156494","0.04436526447534561","0.04729939252138138","1710","1710","1710"
"30","0.24243029579520226","0.22185513377189636","0.25337520241737366","1767","1767","1767","0.04626384098082781","0.044705454260110855","0.04780459403991699","1767","1767","1767"
"31","0.2450425811111927","0.22360222041606903","0.25649648904800415","1824","1824","1824","0.04668562486767769","0.04527074843645096","0.04829537868499756","1824","1824","1824"
"32","0.2457306832075119","0.2234921157360077","0.2577802836894989","1881","1881","1881","0.04706419259309769","0.04550652578473091","0.048623163253068924","1881","1881","1881"
"33","0.24748935922980309","0.2244003713130951","0.261685848236084","1938","1938","1938","0.04745571594685316","0.04583218693733215","0.049040067940950394","1938","1938","1938"
"34","0.24883056059479713","0.22694526612758636","0.26282113790512085","1995","1995","1995","0.04784605745226145","0.04619571566581726","0.049376826733350754","1995","1995","1995"
"35","0.24957751110196114","0.22742365300655365","0.2638649344444275","2052","2052","2052","0.04819587990641594","0.04646554961800575","0.04979812353849411","2052","2052","2052"
