"train/epoch","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MAX"
"40","3.818763494491577","3.8107986450195312","3.8268561363220215","3936","3936","3936","3.8669752279917398","3.8620142936706543","3.871070146560669","3936","3936","3936","3.6559141476949057","3.653866767883301","3.6592235565185547","1599","1599","1599"
"41","3.8222856521606445","3.816399335861206","3.829739809036255","4032","4032","4032","3.869629144668579","3.866593360900879","3.8712472915649414","4032","4032","4032","3.6642938454945884","3.662299633026123","3.667544364929199","1638","1638","1638"
"42","3.8232173919677734","3.8158514499664307","3.829793930053711","4128","4128","4128","3.8734691937764487","3.869626522064209","3.876044273376465","4128","4128","4128","3.6730788548787436","3.6710615158081055","3.6764068603515625","1677","1677","1677"
"43","3.8273850282033286","3.820260763168335","3.8335185050964355","4224","4224","4224","3.875877618789673","3.8726658821105957","3.878249406814575","4224","4224","4224","3.6819917360941568","3.6802730560302734","3.6852774620056152","1716","1716","1716"
"44","3.831019878387451","3.8238515853881836","3.837925910949707","4320","4320","4320","3.8784266312917075","3.8751046657562256","3.8817138671875","4320","4320","4320","3.6902945836385093","3.688220977783203","3.6934399604797363","1755","1755","1755"
"45","3.833890517552694","3.8268260955810547","3.8399345874786377","4416","4416","4416","3.878793557484945","3.8744471073150635","3.883021593093872","4416","4416","4416","3.697887420654297","3.695955753326416","3.7010583877563477","1794","1794","1794"
"46","3.8365095456441245","3.8316855430603027","3.8432793617248535","4512","4512","4512","3.8810296058654785","3.877072334289551","3.8852150440216064","4512","4512","4512","3.7059311866760254","3.704089641571045","3.709599018096924","1833","1833","1833"
"47","3.8397576808929443","3.8343682289123535","3.84719181060791","4608","4608","4608","3.8839704195658364","3.8794703483581543","3.888028144836426","4608","4608","4608","3.7137176990509033","3.7116811275482178","3.717228651046753","1872","1872","1872"
"48","3.841728687286377","3.8365325927734375","3.848060369491577","4704","4704","4704","3.8859683672587075","3.8810081481933594","3.888618230819702","4704","4704","4704","3.7213597297668457","3.7191569805145264","3.724848985671997","1911","1911","1911"
"49","3.843140204747518","3.837312698364258","3.848801374435425","4800","4800","4800","3.8879292805989585","3.8848302364349365","3.8898327350616455","4800","4800","4800","3.7288509209950766","3.7265844345092773","3.73256254196167","1950","1950","1950"
"50","3.843883832295736","3.8379712104797363","3.849062919616699","4896","4896","4896","3.8886773586273193","3.8860249519348145","3.8902416229248047","4896","4896","4896","3.73609725634257","3.7334864139556885","3.739802837371826","1989","1989","1989"
"51","3.8457183837890625","3.8391494750976562","3.8501641750335693","4992","4992","4992","3.889056841532389","3.8871710300445557","3.8900487422943115","4992","4992","4992","3.743199110031128","3.741213321685791","3.747097969055176","2028","2028","2028"
"52","3.8477814197540283","3.8424761295318604","3.851606845855713","5088","5088","5088","3.890167713165283","3.8857553005218506","3.89335036277771","5088","5088","5088","3.7500807444254556","3.7479395866394043","3.7532663345336914","2067","2067","2067"
"53","3.850416978200277","3.8439362049102783","3.8551480770111084","5184","5184","5184","3.8913674354553223","3.8863821029663086","3.894052267074585","5184","5184","5184","3.7574969132741294","3.755187749862671","3.7607789039611816","2106","2106","2106"
"54","3.8511690298716226","3.8456058502197266","3.8540027141571045","5280","5280","5280","3.891953388849894","3.8875646591186523","3.8956942558288574","5280","5280","5280","3.7643266518910727","3.761971950531006","3.7676455974578857","2145","2145","2145"
"55","3.8531068166097007","3.8473262786865234","3.8570194244384766","5376","5376","5376","3.8923822244008384","3.8885293006896973","3.8970415592193604","5376","5376","5376","3.7712627251942954","3.7682127952575684","3.7746455669403076","2184","2184","2184"
"56","3.8563100496927896","3.8503024578094482","3.8595383167266846","5472","5472","5472","3.8929972648620605","3.8879599571228027","3.8972668647766113","5472","5472","5472","3.777358055114746","3.7735962867736816","3.7809228897094727","2223","2223","2223"
"57","3.858705679575602","3.851917266845703","3.862149715423584","5568","5568","5568","3.896129846572876","3.891880989074707","3.899264097213745","5568","5568","5568","3.78395938873291","3.7813873291015625","3.7874603271484375","2262","2262","2262"
"58","3.858947992324829","3.851520538330078","3.8645784854888916","5664","5664","5664","3.8968016306559243","3.894706964492798","3.898362159729004","5664","5664","5664","3.7897555033365884","3.7881052494049072","3.7928028106689453","2301","2301","2301"
"59","3.8619558811187744","3.853309154510498","3.868457317352295","5760","5760","5760","3.897280693054199","3.8960530757904053","3.899442672729492","5760","5760","5760","3.7962376276652017","3.79402756690979","3.7998383045196533","2340","2340","2340"
"60","3.8633801142374673","3.8541839122772217","3.870575428009033","5856","5856","5856","3.898159901301066","3.8973379135131836","3.89890718460083","5856","5856","5856","3.8023342291514077","3.8003320693969727","3.8059115409851074","2379","2379","2379"
"61","3.8642574151357016","3.8562872409820557","3.870769500732422","5952","5952","5952","3.897498607635498","3.8953423500061035","3.900007724761963","5952","5952","5952","3.80820631980896","3.806302309036255","3.8119382858276367","2418","2418","2418"
"62","3.865738312403361","3.857541084289551","3.872586250305176","6048","6048","6048","3.8979855378468833","3.8968729972839355","3.8988890647888184","6048","6048","6048","3.813487688700358","3.811161994934082","3.8181021213531494","2457","2457","2457"
"63","3.8663411935170493","3.858880043029785","3.873582124710083","6144","6144","6144","3.897538344065348","3.895972728729248","3.8992090225219727","6144","6144","6144","3.819267908732096","3.816957473754883","3.8236494064331055","2496","2496","2496"
"64","3.8680524826049805","3.8606362342834473","3.875049591064453","6240","6240","6240","3.8966898123423257","3.8943333625793457","3.8980798721313477","6240","6240","6240","3.825026194254557","3.822612762451172","3.82958984375","2535","2535","2535"
"65","3.869321584701538","3.862938165664673","3.876115322113037","6336","6336","6336","3.898191452026367","3.896620512008667","3.899027109146118","6336","6336","6336","3.8298513889312744","3.827144145965576","3.835264205932617","2574","2574","2574"
"66","3.871820608774821","3.8657753467559814","3.878687620162964","6432","6432","6432","3.899157683054606","3.898135185241699","3.900826930999756","6432","6432","6432","3.8345979849497476","3.832059860229492","3.8396615982055664","2613","2613","2613"
"67","3.8723546663920083","3.8657357692718506","3.8793935775756836","6528","6528","6528","3.900315284729004","3.8996994495391846","3.9014463424682617","6528","6528","6528","3.8394567171732583","3.8362483978271484","3.8452067375183105","2652","2652","2652"
"68","3.8735960324605307","3.868499279022217","3.8800201416015625","6624","6624","6624","3.9001870155334473","3.8982949256896973","3.9013471603393555","6624","6624","6624","3.8446861108144126","3.841569662094116","3.8507766723632812","2691","2691","2691"
"69","3.8738152980804443","3.870123863220215","3.878760814666748","6720","6720","6720","3.9008814493815103","3.897846221923828","3.902489185333252","6720","6720","6720","3.85005251566569","3.846648693084717","3.8564767837524414","2730","2730","2730"
"70","3.876237392425537","3.873490333557129","3.8797316551208496","6816","6816","6816","3.9019905726114907","3.901183605194092","3.903139591217041","6816","6816","6816","3.854194084803263","3.850598096847534","3.861069679260254","2769","2769","2769"
"71","3.8780922889709473","3.876002311706543","3.880216121673584","6912","6912","6912","3.9026712576548257","3.9011781215667725","3.904275417327881","6912","6912","6912","3.859138329823812","3.8547205924987793","3.8661770820617676","2808","2808","2808"
"72","3.8787662982940674","3.8770837783813477","3.8808414936065674","7008","7008","7008","3.9023834069569907","3.9012773036956787","3.9030137062072754","7008","7008","7008","3.8634812037150064","3.858520984649658","3.870816707611084","2847","2847","2847"
"73","3.879704157511393","3.8782153129577637","3.8812339305877686","7104","7104","7104","3.9025138219197593","3.901348829269409","3.90340256690979","7104","7104","7104","3.867448409398397","3.8633859157562256","3.874216318130493","2886","2886","2886"
"74","3.88016668955485","3.87795352935791","3.881725311279297","7200","7200","7200","3.9026885827382407","3.9005277156829834","3.9039175510406494","7200","7200","7200","3.8718881607055664","3.8675413131713867","3.879577875137329","2925","2925","2925"
"75","3.8814828395843506","3.8810930252075195","3.8820669651031494","7296","7296","7296","3.90163516998291","3.899193286895752","3.903679847717285","7296","7296","7296","3.8764068285624185","3.871812343597412","3.8840584754943848","2964","2964","2964"
"76","3.8823465506235757","3.879210948944092","3.885201930999756","7392","7392","7392","3.902906815210978","3.901672840118408","3.9037909507751465","7392","7392","7392","3.8806230227152505","3.8756563663482666","3.8874363899230957","3003","3003","3003"
"77","3.885162432988485","3.883920669555664","3.8869261741638184","7488","7488","7488","3.902974764506022","3.900451421737671","3.9046170711517334","7488","7488","7488","3.884220600128174","3.8793561458587646","3.890336275100708","3042","3042","3042"
"78","3.8850389321645102","3.8849751949310303","3.885164737701416","7584","7584","7584","3.9036564032236734","3.8996636867523193","3.9064674377441406","7584","7584","7584","3.8874282836914062","3.8833770751953125","3.8939976692199707","3081","3081","3081"
"79","3.8865575790405273","3.885349750518799","3.887763023376465","7680","7680","7680","3.9032930533091226","3.899874448776245","3.907985210418701","7680","7680","7680","3.890759547551473","3.8864493370056152","3.897256851196289","3120","3120","3120"
"80","3.8884389400482178","3.8867416381835938","3.8905773162841797","7776","7776","7776","3.9028846422831216","3.900031566619873","3.9069061279296875","7776","7776","7776","3.893848419189453","3.888997793197632","3.9019508361816406","3159","3159","3159"
"81","3.88962984085083","3.8878979682922363","3.891918182373047","7872","7872","7872","3.9035394191741943","3.9003195762634277","3.9077022075653076","7872","7872","7872","3.897152582804362","3.8925955295562744","3.9061176776885986","3198","3198","3198"
"82","3.8900314966837564","3.8871583938598633","3.8938212394714355","7968","7968","7968","3.9036543369293213","3.898730516433716","3.9075183868408203","7968","7968","7968","3.9002530574798584","3.8948452472686768","3.9097132682800293","3237","3237","3237"
"83","3.889320135116577","3.886420249938965","3.8936002254486084","8064","8064","8064","3.9036881923675537","3.9016668796539307","3.9054927825927734","8064","8064","8064","3.903094530105591","3.897705554962158","3.912985324859619","3276","3276","3276"
"84","3.889749447504679","3.884725332260132","3.8940248489379883","8160","8160","8160","3.90368382136027","3.9016008377075195","3.9055519104003906","8160","8160","8160","3.9060999552408853","3.9004688262939453","3.9165990352630615","3315","3315","3315"
"85","3.89042067527771","3.885532855987549","3.896317720413208","8256","8256","8256","3.904133160909017","3.9003820419311523","3.9075546264648438","8256","8256","8256","3.909619092941284","3.902864933013916","3.9206671714782715","3354","3354","3354"
"86","3.8904576301574707","3.885067939758301","3.896404266357422","8352","8352","8352","3.9048471450805664","3.899179697036743","3.9087717533111572","8352","8352","8352","3.9125610987345376","3.9054324626922607","3.924730062484741","3393","3393","3393"
"87","3.8918747107187905","3.886465072631836","3.8961477279663086","8448","8448","8448","3.9038023153940835","3.900653123855591","3.9061279296875","8448","8448","8448","3.9154205322265625","3.9090023040771484","3.9269399642944336","3432","3432","3432"
"88","3.893457015355428","3.889667510986328","3.896749973297119","8544","8544","8544","3.9037891228993735","3.902376890182495","3.905946969985962","8544","8544","8544","3.918198506037394","3.9119210243225098","3.9295566082000732","3471","3471","3471"
"89","3.89518666267395","3.8928189277648926","3.89658260345459","8640","8640","8640","3.9045142332712808","3.9027328491210938","3.907529830932617","8640","8640","8640","3.9212323824564614","3.914832592010498","3.932689666748047","3510","3510","3510"
