"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"55","3.7132508158683777","3.711726188659668","3.7143683433532715","5376","5376","5376","3.719010055065155","3.7159688472747803","3.7234554290771484","5376","5376","5376","3.593947470188141","3.5927319526672363","3.5960545539855957","2184","2184","2184"
"56","3.7156808972358704","3.714823007583618","3.716855525970459","5472","5472","5472","3.7216904163360596","3.718073844909668","3.725645065307617","5472","5472","5472","3.5946436524391174","3.5937230587005615","3.5963943004608154","2223","2223","2223"
"57","3.7183916568756104","3.717233657836914","3.719627857208252","5568","5568","5568","3.7245829105377197","3.7216315269470215","3.7278943061828613","5568","5568","5568","3.5956305861473083","3.594566822052002","3.5972695350646973","2262","2262","2262"
"58","3.721593737602234","3.7198150157928467","3.7224607467651367","5664","5664","5664","3.7278319597244263","3.7255172729492188","3.7300922870635986","5664","5664","5664","3.5962741374969482","3.5951950550079346","3.597693681716919","2301","2301","2301"
"59","3.723907709121704","3.7226438522338867","3.7247977256774902","5760","5760","5760","3.730852961540222","3.7281055450439453","3.733167886734009","5760","5760","5760","3.5969950556755066","3.596087694168091","3.5983238220214844","2340","2340","2340"
"60","3.726656675338745","3.7249884605407715","3.727853775024414","5856","5856","5856","3.733753263950348","3.730492115020752","3.7370543479919434","5856","5856","5856","3.5979764461517334","3.5970637798309326","3.599515914916992","2379","2379","2379"
"61","3.729523777961731","3.728321075439453","3.7304770946502686","5952","5952","5952","3.736532986164093","3.7329814434051514","3.7391653060913086","5952","5952","5952","3.599167048931122","3.5984158515930176","3.6005778312683105","2418","2418","2418"
"62","3.731899917125702","3.730940341949463","3.73296856880188","6048","6048","6048","3.739345967769623","3.735522508621216","3.7418994903564453","6048","6048","6048","3.600112557411194","3.5993754863739014","3.6013059616088867","2457","2457","2457"
"63","3.735197067260742","3.7334771156311035","3.737381935119629","6144","6144","6144","3.741832911968231","3.73811674118042","3.744894504547119","6144","6144","6144","3.6008158326148987","3.599813461303711","3.602198362350464","2496","2496","2496"
"64","3.737887978553772","3.736750364303589","3.739619493484497","6240","6240","6240","3.7442802786827087","3.740429162979126","3.7469701766967773","6240","6240","6240","3.6016401052474976","3.600536584854126","3.6029953956604004","2535","2535","2535"
