"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX"
"20","0.06624211929738522","0.06576763093471527","0.06642226129770279","2016","2016","2016","0.06594925932586193","0.0656793862581253","0.06622596085071564","2016","2016","2016"
"21","0.06644141115248203","0.06593112647533417","0.06672825664281845","2112","2112","2112","0.06598958559334278","0.06572239100933075","0.06630095094442368","2112","2112","2112"
"22","0.066578708589077","0.06614728271961212","0.06680609285831451","2208","2208","2208","0.06607538089156151","0.06578027456998825","0.06635323166847229","2208","2208","2208"
"23","0.06661326810717583","0.06609772145748138","0.06682778894901276","2304","2304","2304","0.06617906130850315","0.06590829789638519","0.06646330654621124","2304","2304","2304"
"24","0.0667777732014656","0.06624578684568405","0.06701410561800003","2400","2400","2400","0.06625090911984444","0.06592987477779388","0.06652673333883286","2400","2400","2400"
"25","0.06686535105109215","0.06639647483825684","0.06712706387042999","2496","2496","2496","0.06635673344135284","0.06599794328212738","0.0665743350982666","2496","2496","2496"
"26","0.06694572605192661","0.06648916006088257","0.06714469194412231","2592","2592","2592","0.06635899096727371","0.06602727621793747","0.06657334417104721","2592","2592","2592"
"27","0.0670500285923481","0.0665193647146225","0.06726487725973129","2688","2688","2688","0.06643334403634071","0.0660836324095726","0.06666354089975357","2688","2688","2688"
"28","0.0671598520129919","0.06672027707099915","0.06740424036979675","2784","2784","2784","0.06653261557221413","0.06613574922084808","0.0668671578168869","2784","2784","2784"
"29","0.06729800254106522","0.06686525046825409","0.06747551262378693","2880","2880","2880","0.06654236651957035","0.06615099310874939","0.06687024980783463","2880","2880","2880"
"30","0.06738567538559437","0.06686605513095856","0.06764479726552963","2976","2976","2976","0.06662184000015259","0.06619421392679214","0.06694646179676056","2976","2976","2976"
"31","0.0674964115023613","0.06694279611110687","0.06772442162036896","3072","3072","3072","0.06670590862631798","0.06636057794094086","0.06709270179271698","3072","3072","3072"
"32","0.0675556231290102","0.06690216064453125","0.06787462532520294","3168","3168","3168","0.06676256842911243","0.06640258431434631","0.06717248260974884","3168","3168","3168"
"33","0.06768214330077171","0.06704340875148773","0.06802234053611755","3264","3264","3264","0.06682512536644936","0.06646887958049774","0.06728532165288925","3264","3264","3264"
"34","0.0677453838288784","0.06706392765045166","0.0681522786617279","3360","3360","3360","0.0668640248477459","0.06646418571472168","0.06734031438827515","3360","3360","3360"
