"train/epoch","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX"
"16","0.09391037374734879","0.09193660318851471","0.09784010052680969","1632","1632","1632","0.10358303971588612","0.10099098086357117","0.1050347313284874","1632","1632","1632"
"17","0.0957641564309597","0.09352028369903564","0.10050403326749802","1728","1728","1728","0.10549204424023628","0.10281504690647125","0.10720466077327728","1728","1728","1728"
"18","0.09721930883824825","0.09525100141763687","0.10222114622592926","1824","1824","1824","0.10743203200399876","0.1051260232925415","0.1092161163687706","1824","1824","1824"
"19","0.09849764965474606","0.09622976928949356","0.10331809520721436","1920","1920","1920","0.10931655392050743","0.10699402540922165","0.11108861863613129","1920","1920","1920"
"20","0.10015265457332134","0.09740568697452545","0.10517752170562744","2016","2016","2016","0.11124311573803425","0.1089145764708519","0.11332200467586517","2016","2016","2016"
"21","0.10131403245031834","0.0985313355922699","0.10626677423715591","2112","2112","2112","0.11294079944491386","0.11087681353092194","0.11507430672645569","2112","2112","2112"
"22","0.10250360518693924","0.09968230128288269","0.10737283527851105","2208","2208","2208","0.11458807811141014","0.11260267347097397","0.11651100963354111","2208","2208","2208"
"23","0.10388464108109474","0.10091914236545563","0.1088418960571289","2304","2304","2304","0.11604712717235088","0.11357426643371582","0.11849968880414963","2304","2304","2304"
"24","0.10499590076506138","0.10196833312511444","0.11013305932283401","2400","2400","2400","0.11767053231596947","0.11512768268585205","0.12014494836330414","2400","2400","2400"
"25","0.10619012452661991","0.10296183824539185","0.11145429313182831","2496","2496","2496","0.11942960880696774","0.11641426384449005","0.12272768467664719","2496","2496","2496"
"26","0.10737189278006554","0.10411331057548523","0.11280125379562378","2592","2592","2592","0.12070927023887634","0.1174989715218544","0.12467829138040543","2592","2592","2592"
"27","0.10883405432105064","0.10554242134094238","0.11412875354290009","2688","2688","2688","0.1222124882042408","0.11875414848327637","0.12663260102272034","2688","2688","2688"
"28","0.11012563668191433","0.10689675807952881","0.11541705578565598","2784","2784","2784","0.1241619884967804","0.12039494514465332","0.12892906367778778","2784","2784","2784"
"29","0.11140789650380611","0.10828784108161926","0.11660617589950562","2880","2880","2880","0.1256968043744564","0.12150164693593979","0.13122910261154175","2880","2880","2880"
"30","0.11258961819112301","0.1098501980304718","0.11751215904951096","2976","2976","2976","0.1271254736930132","0.12248428910970688","0.13287149369716644","2976","2976","2976"
"31","0.11390658654272556","0.11091375350952148","0.1188298910856247","3072","3072","3072","0.1287070084363222","0.12374182790517807","0.13499340415000916","3072","3072","3072"
"32","0.11513065546751022","0.1123063787817955","0.1200246512889862","3168","3168","3168","0.13004999607801437","0.12496103346347809","0.1363147795200348","3168","3168","3168"
"33","0.11656704731285572","0.1135026216506958","0.12160055339336395","3264","3264","3264","0.13177988305687904","0.12642085552215576","0.1382693350315094","3264","3264","3264"
"34","0.11777409538626671","0.11437974870204926","0.12272985279560089","3360","3360","3360","0.13313274085521698","0.12755364179611206","0.13975146412849426","3360","3360","3360"
